EDR3Name,GLON,GLAT,RA_ICRS,DE_ICRS,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,Gmag,e_Gmag,BP-RP,RVDR2,e_RVDR2,e_BP-RP
Gaia EDR3 5522037498273034880,264.6607759828,-2.0692489085,130.60643388243,-45.62091870648,0.6636,0.0489,-5.23,0.047,3.176,0.05,16.425705,0.002839,1.30918,,,0.012837
Gaia EDR3 5522037532632857344,264.676456985,-2.0657348162,130.62418719431,-45.63110575586,0.5061,0.0159,-5.417,0.017,3.905,0.017,14.097298,0.002768,0.774634,,,0.006837
Gaia EDR3 5522037562686469120,264.6644918038,-2.0363559962,130.64675661933,-45.60359401624,0.4347,0.1686,-4.938,0.172,3.672,0.218,18.51079,0.003282,1.667372,,,0.047584
Gaia EDR3 5522037566991967872,264.6677982584,-2.040106756,130.64544144125,-45.6085073105,0.6096,0.1307,-4.702,0.124,3.245,0.156,18.074833,0.003359,1.527708,,,0.03654
Gaia EDR3 5522043335122555264,264.6765320393,-1.9888127591,130.7108658243,-45.58377643161,0.6734,0.0871,-4.233,0.103,3.861,0.087,17.718489,0.002977,1.643396,,,0.028791
Gaia EDR3 5522043335125018240,264.6744137899,-1.9820085159,130.71665541773,-45.57791474166,0.3805,0.288,-3.914,0.284,3.822,0.31,18.940495,0.006044,2.909317,,,0.138007
Gaia EDR3 5522043369482300800,264.6686103771,-1.995150117,130.69676304616,-45.58144896481,0.2481,0.0818,-4.119,0.093,3.669,0.08,17.59025,0.002959,1.57151,,,0.024447
Gaia EDR3 5522043442507230464,264.6688887792,-2.0335007508,130.65384030992,-45.60529737487,0.5781,0.0216,-3.487,0.022,3.882,0.022,14.905095,0.002772,1.07947,,,0.007176
Gaia EDR3 5522043541280993792,264.6531523112,-2.0175548821,130.65794911843,-45.58308630313,0.472,0.1179,-3.95,0.119,2.81,0.136,18.04895,0.003087,1.497585,,,0.026798
Gaia EDR3 5522043541281003392,264.6495266288,-2.0156605652,130.65689233082,-45.57906502758,0.5839,0.1403,-3.533,0.14,2.535,0.178,18.300512,0.003352,1.662262,,,0.042824
Gaia EDR3 5522043648665657344,264.6353724398,-1.9902705211,130.67301252149,-45.55228096889,0.4939,0.1222,-4.503,0.116,3.897,0.152,18.058245,0.003201,1.875814,,,0.054132
Gaia EDR3 5522043781799216256,264.6585630127,-1.9649679202,130.72186729652,-45.55493610454,0.2591,0.0453,-3.582,0.046,3.266,0.045,16.554195,0.002823,1.364908,,,0.00983
