EDR3Name,GLON,GLAT,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,Gmag,e_Gmag,BP-RP,RVDR2,e_RVDR2,e_BP-RP,probs_final
Gaia EDR3 5329864409300143616,265.1769723353,-1.9404762342,0.5054,0.0147,-5.211,0.017,4.947,0.017,11.303548,0.002901,0.274328,,,0.008341,1
Gaia EDR3 5329865405732406272,265.155862348,-2.0673529511,0.4588,0.0417,-5.164,0.047,5.047,0.047,16.60012,0.002935,1.245564,,,0.012863,1
Gaia EDR3 5329865543171382528,265.1529009084,-2.0386649983,0.4424,0.0367,-5.063,0.042,5.019,0.041,16.297853,0.002809,1.119594,,,0.009206,1
Gaia EDR3 5329865989848013440,265.1503454481,-1.9988433756,0.4803,0.0576,-5.119,0.063,5.066,0.068,17.159273,0.003034,1.280649,,,0.01649,1
Gaia EDR3 5329866745762183040,265.1184835969,-2.020623057,0.5089,0.0115,-5.15,0.013,4.863,0.013,13.460866,0.00277,0.481371,,,0.006668,1
Gaia EDR3 5329866883201158016,265.1163513568,-1.9926115193,0.4431,0.025,-4.969,0.029,4.878,0.031,15.530118,0.002775,1.052821,,,0.007422,1
Gaia EDR3 5329867673475234048,265.1324421446,-1.9204906324,0.4597,0.0287,-5.099,0.031,5.03,0.032,15.833872,0.002787,1.145741,,,0.008523,1
Gaia EDR3 5329867879633693952,265.1410941089,-1.9007903246,0.467,0.0187,-5.096,0.021,4.959,0.022,14.822826,0.002772,0.706829,,,0.006954,1
Gaia EDR3 5329868738627041408,265.0884984534,-1.9292062886,0.5008,0.0119,-5.088,0.012,5.188,0.014,12.387684,0.002762,0.366878,,,0.006648,1
Gaia EDR3 5329869013505660672,265.1036050641,-1.8871066578,0.4555,0.0241,-5.281,0.025,5.086,0.027,15.579384,0.004016,1.301948,,,0.021116,1
Gaia EDR3 5329961956590957568,265.1281136506,-1.8154688997,0.4542,0.0276,-5.075,0.03,5.053,0.032,15.700704,0.002777,1.075397,,,0.007768,1
Gaia EDR3 5329962059670111360,265.1151647318,-1.8541340613,0.4495,0.0256,-5.203,0.027,5.027,0.032,15.552653,0.002776,1.032708,,,0.007705,1
Gaia EDR3 5329963193541180416,265.0483310756,-1.831941058,0.4112,0.032,-5.178,0.032,5.144,0.039,15.953446,0.002789,1.29274,,,0.009812,1
Gaia EDR3 5522014271089861376,265.0852311929,-2.0862750132,0.4608,0.0255,-5.188,0.028,5.13,0.028,15.754942,0.002777,1.040278,,,0.007726,1
Gaia EDR3 5522014545967742464,265.0596556901,-2.0914314002,0.4924,0.0123,-5.145,0.014,5.204,0.013,10.368488,0.002773,0.447128,,,0.006631,1
Gaia EDR3 5522014958284517632,265.017127266,-2.1684448469,0.4617,0.0126,-5.117,0.014,5.019,0.014,13.498402,0.00277,0.543363,,,0.006707,1
Gaia EDR3 5522015164443010560,265.0518996762,-2.113212535,0.4466,0.0167,-5.123,0.019,5.12,0.017,14.558271,0.002766,0.80815,,,0.006896,1
Gaia EDR3 5522015576759843072,265.005529326,-2.0760899202,0.4387,0.0447,-5.071,0.046,5.061,0.046,16.744421,0.003089,1.660959,,,0.017262,1
Gaia EDR3 5522018806575192704,264.953133824,-2.0986555777,0.3919,0.0175,-5.086,0.019,5.159,0.02,13.810046,0.002762,0.858134,,,0.006813,1
Gaia EDR3 5522019253251732736,264.9229856816,-2.172689135,0.476,0.0184,-5.136,0.02,5.093,0.019,14.712029,0.002774,0.658201,,,0.006995,1
Gaia EDR3 5522019493769907200,264.9063213331,-2.1308046161,0.5183,0.0228,-5.163,0.023,5.159,0.026,14.983447,0.002775,0.892509,,,0.007642,1
Gaia EDR3 5522020009165982080,264.8835630052,-2.0890810697,0.4523,0.0225,-5.134,0.022,5.144,0.023,6.286129,0.005003,3.016702,29.39,0.31,0.034165,1
Gaia EDR3 5522020352763538048,265.0588314421,-2.0687651075,0.4287,0.0324,-5.153,0.036,5.053,0.034,16.107283,0.002783,1.193827,,,0.007762,1
Gaia EDR3 5522020421482998912,265.0493148264,-2.0790580901,0.4663,0.0174,-5.098,0.019,5.023,0.018,14.820226,0.002768,0.803177,,,0.007072,1
Gaia EDR3 5522020868159645056,265.0472428929,-1.9750006266,0.4432,0.0177,-5.197,0.019,5.004,0.02,14.907571,0.002769,0.792453,,,0.007017,1
Gaia EDR3 5522020902519368832,265.0487551084,-2.0144348131,0.441,0.0152,-5.123,0.016,5.085,0.018,14.448736,0.002765,0.725885,,,0.006923,1
Gaia EDR3 5522020902519370240,265.0533743852,-2.0173810023,0.3803,0.041,-4.891,0.042,4.967,0.047,16.66948,0.002828,1.255801,,,0.012027,1
Gaia EDR3 5522020902519373952,265.0560036676,-2.0155280677,0.4566,0.0127,-5.123,0.014,5.092,0.015,13.970513,0.002767,0.598417,,,0.006775,1
Gaia EDR3 5522021177397239296,265.045874248,-2.0793231951,0.4629,0.0139,-5.154,0.015,5.129,0.015,14.239072,0.002768,0.61625,,,0.006966,1
Gaia EDR3 5522021486634858368,265.0078919286,-2.0509924831,0.471,0.0135,-5.137,0.014,4.9,0.015,14.092262,0.002761,0.883322,,,0.006775,1
Gaia EDR3 5522021555354312064,264.9843060852,-2.0493399906,0.4706,0.0128,-5.098,0.014,5.197,0.014,11.453477,0.002791,0.86012,,,0.006795,1
Gaia EDR3 5522021555354314880,264.9874339249,-2.049316749,0.3632,0.0603,-5.078,0.064,5.145,0.06,16.23441,0.003068,1.404845,,,0.025725,1
Gaia EDR3 5522021722848025216,265.0195461348,-2.0126520618,0.4206,0.0385,-5.153,0.039,5.12,0.041,16.387568,0.002803,1.427421,,,0.009211,1
Gaia EDR3 5522022002030946048,265.000577157,-2.0171198428,0.46,0.0197,-5.122,0.021,5.106,0.023,15.174581,0.002768,0.959778,,,0.007092,1
Gaia EDR3 5522022036390678400,264.9812441678,-1.9920892314,0.3794,0.0406,-4.99,0.044,5.014,0.048,16.403898,0.002836,1.512511,,,0.008953,1
Gaia EDR3 5522022276908925568,265.0602277985,-1.9629263602,0.4375,0.0255,-5.228,0.029,5.103,0.031,15.69681,0.002777,1.090233,,,0.007655,1
Gaia EDR3 5522022311268665344,265.0637215561,-1.9527817249,0.4744,0.0108,-5.113,0.011,5.167,0.013,13.393226,0.002767,0.538758,,,0.006671,1
Gaia EDR3 5522023509554943872,264.9948813404,-1.9224885795,0.4891,0.0099,-5.068,0.011,5.272,0.012,13.075417,0.002802,0.805117,,,0.00731,1
Gaia EDR3 5522023616938746880,264.9866755659,-1.9135235654,0.4389,0.0152,-5.122,0.017,4.994,0.017,14.487314,0.002762,0.990363,,,0.006798,1
Gaia EDR3 5522025644163113728,264.9092714476,-2.0568045339,0.4611,0.0541,-5.123,0.056,5.119,0.055,17.127352,0.002935,1.513027,,,0.014499,1
Gaia EDR3 5522026537516530048,264.8694256335,-1.9611903021,0.4512,0.0142,-5.276,0.016,5.232,0.015,14.052798,0.002765,0.749694,,,0.006761,1
Gaia EDR3 5522026640595278848,264.8574152223,-1.9530519105,0.4579,0.0248,-5.103,0.029,5.036,0.028,15.472477,0.002773,0.984403,,,0.007342,1
Gaia EDR3 5522027155991378560,264.8960479515,-1.9165934365,0.4031,0.024,-5.161,0.028,5.008,0.027,15.577679,0.002776,1.070212,,,0.008128,1
Gaia EDR3 5522030690740718976,264.8392011828,-2.1753480833,0.4557,0.0257,-5.134,0.026,5.123,0.026,15.492666,0.002776,1.002933,,,0.007387,1
Gaia EDR3 5522031141721168128,264.879647928,-2.1731679747,0.4593,0.0271,-5.056,0.027,5.153,0.028,15.683875,0.002778,1.001545,,,0.007433,1
Gaia EDR3 5522037738790973056,264.8569269009,-2.0533949829,0.4747,0.0126,-5.148,0.013,5.166,0.014,13.79883,0.002769,0.75466,,,0.006793,1
Gaia EDR3 5522116830603381120,265.0368565428,-1.8421249817,0.45,0.0106,-5.224,0.011,4.953,0.013,12.395618,0.00276,0.692587,,,0.006633,1
Gaia EDR3 5522117006703065344,265.0182300723,-1.8010545254,0.4169,0.0195,-5.171,0.021,5.01,0.023,14.988707,0.004433,0.775442,,,0.022733,1
Gaia EDR3 5522118243650501632,264.9442309903,-1.8176407629,0.5465,0.0314,-5.084,0.034,4.955,0.044,13.069902,0.002869,0.438207,,,0.009558,1
Gaia EDR3 5522121370389801472,264.907069934,-1.806350285,0.458,0.0135,-5.09,0.016,5.048,0.015,14.141974,0.002764,0.842751,,,0.006693,1
Gaia EDR3 5329848908748857600,265.3427587437,-2.096706502,0.453,0.0171,-5.101,0.018,5.064,0.019,14.112649,0.00278,0.427841,,,0.006795,0.99009900990099
Gaia EDR3 5329854857292900992,265.3136041013,-2.1680787874,0.4503,0.0139,-5.111,0.015,5.047,0.015,13.768847,0.002796,0.386008,,,0.006758,0.99009900990099
Gaia EDR3 5329855922444747776,265.2546014364,-2.1052812877,0.4693,0.0304,-5.149,0.037,5.044,0.034,15.908566,0.002799,0.963852,,,0.008139,0.99009900990099
Gaia EDR3 5329860148692368640,265.150041381,-2.1391638908,0.4695,0.0209,-5.191,0.024,5.09,0.023,15.136938,0.002771,0.840022,,,0.007095,0.99009900990099
Gaia EDR3 5329860835887439360,265.3001386705,-2.0788455762,0.4345,0.0134,-5.033,0.016,5.043,0.015,12.148118,0.002761,0.228203,,,0.006626,0.99009900990099
Gaia EDR3 5329862038478161792,265.229467537,-2.078952439,0.5,0.0209,-5.25,0.027,5.233,0.024,15.056941,0.002774,0.776325,,,0.006969,0.99009900990099
Gaia EDR3 5329862656953462528,265.2072595052,-2.0229094449,0.4536,0.0147,-5.339,0.017,5.031,0.017,14.251665,0.00277,0.582612,,,0.006756,0.99009900990099
Gaia EDR3 5329863271119470976,265.2480776226,-1.9422828425,0.5095,0.0147,-5.028,0.016,5.107,0.017,11.128891,0.002784,0.244887,,,0.006736,0.99009900990099
Gaia EDR3 5329864100062576000,265.218579274,-1.9354129747,0.4889,0.0101,-5.023,0.011,5.059,0.012,12.493643,0.002831,0.385946,,,0.007939,0.99009900990099
Gaia EDR3 5329864340580682496,265.1936860067,-1.9542516474,0.3359,0.0118,-5.303,0.013,5.056,0.013,12.806327,0.002764,2.201371,63.73,0.76,0.006728,0.99009900990099
Gaia EDR3 5329864581098907904,265.1983688123,-1.9026574234,0.4044,0.0195,-5.12,0.021,4.887,0.023,14.504872,0.002771,0.660137,,,0.007034,0.99009900990099
Gaia EDR3 5329865268295489408,265.1837478341,-2.0439572727,0.492,0.0393,-5.122,0.045,5.098,0.043,16.349846,0.003007,1.113182,,,0.011756,0.99009900990099
