# 
# Subset of stars selected as members
# M1: primary mass
# M2: secondary mass (if binary system)
# P_binar: binary probability
# 
ID Mag Col M1 M1_std M2 M2_std P_binar
"Gaia EDR3 5522210976281286144" 11.86906 0.38663 5.16800 1.13110 1.69636 1.20928 0.56
"Gaia EDR3 5522209984156125184" 13.53556 0.59793 3.09395 0.41000 0.91195 0.69305 0.50
"Gaia EDR3 5522210911869001600" 14.67382 0.70898 2.09816 0.20048 0.54672 0.41596 0.44
"Gaia EDR3 5522211083667703936" 15.47764 1.00415 1.67848 0.11698 0.45527 0.34594 0.45
"Gaia EDR3 5522399409390773120" 15.85031 1.07480 1.55123 0.10277 0.44838 0.33293 0.44
"Gaia EDR3 5522209846717161984" 16.94847 1.34289 1.25561 0.08897 0.59065 0.26315 0.40
"Gaia EDR3 5522209606198977152" 11.78475 0.51283 5.26366 1.17300 1.79101 1.26744 0.58
"Gaia EDR3 5522210121595047680" 12.94430 0.51512 3.77309 0.59352 1.17892 0.84895 0.53
"Gaia EDR3 5522211461624887040" 13.31307 0.61165 3.29486 0.43941 1.01189 0.75175 0.54
"Gaia EDR3 5522209777997707776" 13.34019 0.55877 3.27360 0.43721 0.97476 0.74260 0.51
"Gaia EDR3 5522206582542096640" 14.69150 1.05014 2.03140 0.19590 0.80534 0.49054 0.56
"Gaia EDR3 5522409854751089536" 14.82712 0.84238 1.98037 0.17188 0.57345 0.41043 0.48
"Gaia EDR3 5522210052875579264" 14.98396 0.82734 1.90611 0.15139 0.49409 0.36438 0.43
"Gaia EDR3 5522209812357426560" 15.34897 1.03866 1.71862 0.12345 0.52342 0.37745 0.49
"Gaia EDR3 5522244721852401280" 15.56641 1.19632 1.62085 0.10911 0.55460 0.38244 0.54
"Gaia EDR3 5522216649945834496" 15.85762 1.19362 1.53356 0.10034 0.53038 0.35571 0.48
"Gaia EDR3 5522195553066221440" 16.54889 1.34116 1.34296 0.08755 0.61685 0.29847 0.42
"Gaia EDR3 5522209777997702784" 16.87519 1.34298 1.27129 0.09033 0.59738 0.27077 0.40
"Gaia EDR3 5522043678722401024" 18.13803 1.43052 1.02607 0.08915 0.44377 0.20180 0.44
"Gaia EDR3 5522210087235298816" 12.55081 0.49192 4.28243 0.73653 1.39292 0.97576 0.55
"Gaia EDR3 5522209606199436800" 12.81922 0.55058 3.93501 0.64325 1.24817 0.88936 0.55
"Gaia EDR3 5522209640558713984" 12.82086 0.63990 3.92400 0.64259 1.31373 0.89475 0.56
"Gaia EDR3 5522209984156125312" 12.90759 0.58611 3.82387 0.61655 1.24319 0.86328 0.56
"Gaia EDR3 5522151641318945408" 15.11353 1.30815 1.76224 0.14413 0.77113 0.45206 0.55
"Gaia EDR3 5522211736502760832" 15.55099 1.08600 1.64145 0.11244 0.48203 0.35820 0.48
"Gaia EDR3 5522209434400298752" 15.93617 1.23801 1.50619 0.10102 0.53086 0.35277 0.50
"Gaia EDR3 5522206891779717632" 16.91247 1.35531 1.26303 0.08987 0.59893 0.26626 0.40
