# 
# Subset of stars selected as members
# M1: primary mass
# M2: secondary mass (if binary system)
# P_binar: binary probability
# 
ID Mag Col M1 M1_std M2 M2_std P_binar
"Gaia EDR3 5522020009165982080" 6.28613 3.01670 2.69354 0.78553 1.03575 0.80532 0.52
"Gaia EDR3 5522014545967742464" 10.36849 0.44713 2.58478 0.65238 0.93989 0.68973 0.53
"Gaia EDR3 5329864409300143616" 11.30355 0.27433 2.38541 0.50855 0.84836 0.60769 0.54
"Gaia EDR3 5522021555354312064" 11.45348 0.86012 2.35947 0.45567 0.90632 0.61333 0.51
"Gaia EDR3 5329868738627041408" 12.38768 0.36688 2.00659 0.29529 0.67440 0.47889 0.52
"Gaia EDR3 5522116830603381120" 12.39562 0.69259 1.99334 0.28867 0.79239 0.49588 0.53
"Gaia EDR3 5329867673475236096" 12.77829 0.41560 1.82773 0.22518 0.61040 0.43035 0.52
"Gaia EDR3 5522040178332184576" 12.86871 0.43811 1.79026 0.21094 0.60074 0.40672 0.52
"Gaia EDR3 5522022311268665344" 13.39323 0.53876 1.56780 0.15653 0.57000 0.37245 0.52
"Gaia EDR3 5329866745762183040" 13.46087 0.48137 1.54790 0.15495 0.51473 0.34464 0.49
"Gaia EDR3 5522014958284517632" 13.49840 0.54336 1.53008 0.15097 0.55159 0.35297 0.51
"Gaia EDR3 5522037738790973056" 13.79883 0.75466 1.41277 0.13033 0.68080 0.33176 0.56
"Gaia EDR3 5522018806575192704" 13.81005 0.85813 1.39922 0.12782 0.75410 0.32278 0.58
"Gaia EDR3 5522020902519373952" 13.97051 0.59842 1.37690 0.12327 0.56575 0.30316 0.47
"Gaia EDR3 5522026537516530048" 14.05280 0.74969 1.33993 0.11945 0.64905 0.30843 0.52
"Gaia EDR3 5522021486634858368" 14.09226 0.88332 1.32053 0.11709 0.74323 0.29498 0.57
"Gaia EDR3 5522121370389801472" 14.14197 0.84275 1.31091 0.11696 0.70730 0.29135 0.56
"Gaia EDR3 5522021177397239296" 14.23907 0.61625 1.30234 0.11511 0.56480 0.27810 0.43
"Gaia EDR3 5522020902519368832" 14.44874 0.72589 1.24402 0.10664 0.58360 0.27010 0.44
"Gaia EDR3 5522023616938746880" 14.48731 0.99036 1.21912 0.10355 0.71058 0.26110 0.57
"Gaia EDR3 5522015164443010560" 14.55827 0.80815 1.21364 0.10355 0.59814 0.25639 0.46
"Gaia EDR3 5522019253251732736" 14.71203 0.65820 1.18802 0.10076 0.53376 0.23557 0.43
"Gaia EDR3 5522020421482998912" 14.82023 0.80318 1.15671 0.09881 0.54845 0.23295 0.44
"Gaia EDR3 5329867879633693952" 14.82283 0.70683 1.16019 0.09899 0.51953 0.23122 0.43
"Gaia EDR3 5522020868159645056" 14.90757 0.79245 1.13764 0.09626 0.52980 0.22805 0.43
"Gaia EDR3 5522019493769907200" 14.98345 0.89251 1.11713 0.09483 0.56126 0.22764 0.46
"Gaia EDR3 5522117006703065344" 14.98871 0.77544 1.12153 0.09516 0.51685 0.22574 0.42
"Gaia EDR3 5522022002030946048" 15.17458 0.95978 1.07704 0.09116 0.55480 0.22031 0.48
"Gaia EDR3 5522026640595278848" 15.47248 0.98440 1.01815 0.08627 0.51784 0.20817 0.46
"Gaia EDR3 5522030690740718976" 15.49267 1.00293 1.01432 0.08588 0.52209 0.20830 0.47
"Gaia EDR3 5329866883201158016" 15.53012 1.05282 1.00447 0.08449 0.53107 0.20637 0.50
"Gaia EDR3 5329962059670111360" 15.55265 1.03271 1.00139 0.08470 0.51662 0.20764 0.48
"Gaia EDR3 5522027155991378560" 15.57768 1.07021 0.99586 0.08454 0.53236 0.20463 0.51
"Gaia EDR3 5329869013505660672" 15.57938 1.30195 0.98784 0.08389 0.63194 0.18958 0.58
"Gaia EDR3 5522022276908925568" 15.69681 1.09023 0.97386 0.08316 0.50409 0.20707 0.50
"Gaia EDR3 5329961956590957568" 15.70070 1.07540 0.97362 0.08315 0.49758 0.20515 0.49
"Gaia EDR3 5522014271089861376" 15.75494 1.04028 0.96445 0.08264 0.47808 0.19771 0.46
"Gaia EDR3 5522039388058176256" 15.79155 1.05238 0.95723 0.08182 0.47444 0.19522 0.46
"Gaia EDR3 5329867673475234048" 15.83387 1.14574 0.94783 0.08231 0.51313 0.19866 0.53
"Gaia EDR3 5329963193541180416" 15.95345 1.29274 0.92302 0.08034 0.55919 0.18300 0.59
"Gaia EDR3 5522020352763538048" 16.10728 1.19383 0.90107 0.07982 0.48668 0.18806 0.53
"Gaia EDR3 5522019798703613568" 16.16120 1.12967 0.89381 0.07896 0.44736 0.18949 0.46
"Gaia EDR3 5522030763764007808" 16.20303 1.16904 0.88578 0.07827 0.45924 0.18349 0.48
"Gaia EDR3 5329865543171382528" 16.29785 1.11959 0.87271 0.07799 0.42222 0.17487 0.44
"Gaia EDR3 5329865268295489408" 16.34985 1.11318 0.86467 0.07709 0.40722 0.17137 0.43
