# 
# Subset of stars selected as members
# M1: primary mass
# M2: secondary mass (if binary system)
# P_binar: binary probability
# 
ID Mag Col M1 M1_std M2 M2_std P_binar
"Gaia EDR3 5522412053774310528" 11.14333 2.50140 2.71697 0.14955 0.89160 0.64016 0.50
"Gaia EDR3 5522208987723765504" 11.48775 1.87071 2.72116 0.14718 0.95194 0.66094 0.50
"Gaia EDR3 5522212385030548864" 11.60198 1.93929 2.71710 0.14710 0.88792 0.64065 0.49
"Gaia EDR3 5522211014948229760" 11.61966 0.76039 2.55580 0.13705 1.14335 0.71219 0.54
"Gaia EDR3 5522211530344378752" 11.64487 0.78335 2.55602 0.13686 1.14084 0.70966 0.54
"Gaia EDR3 5522212286258586880" 11.83534 1.90765 2.70366 0.13653 0.81649 0.57916 0.48
"Gaia EDR3 5522209120855407744" 11.89073 1.76680 2.70090 0.13413 0.87782 0.60132 0.48
"Gaia EDR3 5522211839582006400" 12.06519 0.88302 2.54136 0.12801 0.99147 0.63728 0.51
"Gaia EDR3 5522302755451504384" 12.29582 1.94955 2.65498 0.13640 0.69758 0.52993 0.47
"Gaia EDR3 5522411710177195136" 12.36343 0.92176 2.50397 0.10659 0.82022 0.56726 0.50
"Gaia EDR3 5522176586490016512" 12.36558 2.02606 2.64802 0.13968 0.69110 0.51968 0.47
"Gaia EDR3 5522201840898320512" 12.58216 0.63318 2.43343 0.09196 0.84288 0.60047 0.50
"Gaia EDR3 5522213969885908224" 12.64942 1.09612 2.43504 0.08713 0.78904 0.53783 0.50
"Gaia EDR3 5522400470238795264" 12.83409 0.73310 2.35929 0.08319 0.85873 0.58006 0.51
"Gaia EDR3 5522213385770163712" 12.93679 0.86013 2.32690 0.08078 0.91739 0.55648 0.51
"Gaia EDR3 5522211564704127616" 13.01456 0.83192 2.29747 0.07585 0.90599 0.55116 0.52
"Gaia EDR3 5522209125162729344" 13.03270 0.84548 2.29055 0.07480 0.91756 0.54732 0.52
"Gaia EDR3 5522218157466593408" 13.03585 0.76319 2.28844 0.07517 0.85796 0.54876 0.52
"Gaia EDR3 5522211770862497792" 13.05533 0.75643 2.28124 0.07551 0.86222 0.55036 0.53
"Gaia EDR3 5522208747205631488" 13.11309 0.80768 2.25988 0.07511 0.93389 0.55430 0.53
"Gaia EDR3 5522197271053309824" 13.19563 0.60239 2.22844 0.07370 0.59325 0.46733 0.46
"Gaia EDR3 5522212217539132928" 13.24865 1.03686 2.20510 0.07315 1.08286 0.51908 0.52
"Gaia EDR3 5522212389337834240" 13.25349 0.87008 2.20453 0.07154 0.99726 0.53159 0.53
"Gaia EDR3 5522401775908853120" 13.31499 0.78429 2.18209 0.07069 0.93185 0.53027 0.55
"Gaia EDR3 5522405113107330048" 13.32015 0.67009 2.18135 0.07111 0.63944 0.48042 0.47
"Gaia EDR3 5522196137181978368" 13.33302 0.71558 2.17504 0.07001 0.74392 0.51380 0.52
