# 
# Subset of stars selected as members
# M1: primary mass
# M2: secondary mass (if binary system)
# P_binar: binary probability
# 
ID Mag Col M1 M1_std M2 M2_std P_binar
"Gaia EDR3 5522209846717168256" 11.58098 0.38390 5.02828 1.10117 1.82347 1.33171 0.55
"Gaia EDR3 5522209606198977152" 11.78475 0.51283 4.80594 0.97401 1.68855 1.21292 0.55
"Gaia EDR3 5522210976281286144" 11.86906 0.38663 4.73756 0.93245 1.63351 1.18020 0.53
"Gaia EDR3 5522210087235298816" 12.55081 0.49192 3.89671 0.57620 1.28178 0.93213 0.54
"Gaia EDR3 5522209842415261312" 12.74031 0.53047 3.69350 0.50545 1.16201 0.86908 0.55
"Gaia EDR3 5522207334149027200" 12.74710 0.54917 3.68823 0.50551 1.17094 0.86644 0.56
"Gaia EDR3 5522210014208615680" 12.77680 0.64220 3.64510 0.48818 1.19463 0.85873 0.56
"Gaia EDR3 5522209606199436800" 12.81922 0.55058 3.60730 0.48600 1.11826 0.84426 0.55
"Gaia EDR3 5522209984156125312" 12.90759 0.58611 3.50170 0.46677 1.08873 0.80325 0.56
"Gaia EDR3 5522210121595047680" 12.94430 0.51512 3.47292 0.46296 1.06073 0.79177 0.54
"Gaia EDR3 5522211461624887040" 13.31307 0.61165 3.04134 0.40435 0.98666 0.67722 0.56
"Gaia EDR3 5522209777997707776" 13.34019 0.55877 3.01641 0.40198 0.94801 0.66305 0.53
"Gaia EDR3 5522209984156125184" 13.53556 0.59793 2.81485 0.36858 0.87063 0.63498 0.52
"Gaia EDR3 5522210190314543872" 14.19836 0.75821 2.19659 0.22942 0.76763 0.50834 0.56
"Gaia EDR3 5522211014948240128" 14.20529 0.69131 2.19849 0.22794 0.68845 0.48877 0.52
"Gaia EDR3 5522210224674267136" 14.23639 0.64000 2.17982 0.22198 0.62679 0.47336 0.48
"Gaia EDR3 5522210980588498816" 14.37373 0.61029 2.08925 0.19862 0.54878 0.42718 0.46
"Gaia EDR3 5522210155954802688" 14.46055 0.75550 2.01807 0.19286 0.60974 0.44170 0.51
"Gaia EDR3 5522210121595044864" 14.54016 0.67844 1.97931 0.18169 0.52099 0.39624 0.45
"Gaia EDR3 5522210911869001600" 14.67382 0.70898 1.90003 0.16581 0.50720 0.38344 0.45
