# 
# Subset of stars selected as members
# M1: primary mass
# M2: secondary mass (if binary system)
# P_binar: binary probability
# 
ID Mag Col M1 M1_std M2 M2_std P_binar
"Gaia EDR3 5522412053774310528" 11.14333 2.50140 2.91353 0.13622 1.02179 0.76763 0.50
"Gaia EDR3 5522208987723765504" 11.48775 1.87071 2.91964 0.13310 1.10538 0.79816 0.53
"Gaia EDR3 5522212385030548864" 11.60198 1.93929 2.92087 0.13207 1.06108 0.76953 0.53
"Gaia EDR3 5522211014948229760" 11.61966 0.76039 2.76069 0.10812 1.21074 0.79466 0.54
"Gaia EDR3 5522211530344378752" 11.64487 0.78335 2.76095 0.10778 1.20701 0.79581 0.54
"Gaia EDR3 5522212286258586880" 11.83534 1.90765 2.92806 0.12624 0.98100 0.73135 0.53
"Gaia EDR3 5522209120855407744" 11.89073 1.76680 2.93107 0.12213 1.03808 0.74233 0.58
"Gaia EDR3 5522211839582006400" 12.06519 0.88302 2.75546 0.10863 1.14463 0.76514 0.55
"Gaia EDR3 5522302755451504384" 12.29582 1.94955 2.89034 0.10038 0.80213 0.61252 0.45
"Gaia EDR3 5522411710177195136" 12.36343 0.92176 2.73653 0.09625 0.91215 0.65156 0.50
"Gaia EDR3 5522176586490016512" 12.36558 2.02606 2.87817 0.10065 0.78019 0.57565 0.46
"Gaia EDR3 5522201840898320512" 12.58216 0.63318 2.66503 0.07830 1.01581 0.68818 0.52
"Gaia EDR3 5522213969885908224" 12.64942 1.09612 2.68038 0.07433 0.77430 0.54365 0.50
"Gaia EDR3 5522400470238795264" 12.83409 0.73310 2.59157 0.06999 0.88349 0.61494 0.50
"Gaia EDR3 5522213385770163712" 12.93679 0.86013 2.55996 0.06929 0.91923 0.59720 0.50
"Gaia EDR3 5522211564704127616" 13.01456 0.83192 2.52822 0.06739 0.93444 0.60983 0.50
"Gaia EDR3 5522209125162729344" 13.03270 0.84548 2.52188 0.06670 0.94314 0.60395 0.50
"Gaia EDR3 5522218157466593408" 13.03585 0.76319 2.51955 0.06759 0.88262 0.60298 0.49
"Gaia EDR3 5522211770862497792" 13.05533 0.75643 2.51216 0.06869 0.87131 0.60318 0.50
